,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
149,R,1,0.80,0.50,2.00,9.00,21.03,15.73,15.26,4.45
150,S,1,0.80,0.80,0.50,9.00,20.79,15.40,14.93,5.58
151,R,1,0.80,0.80,0.50,9.00,20.46,15.41,14.95,3.78
152,S,1,0.80,0.80,1.00,9.00,23.94,16.02,15.84,4.84
153,R,1,0.80,0.80,1.00,9.00,21.93,15.89,15.71,3.90
154,S,1,0.80,0.80,2.00,9.00,23.81,14.94,14.79,8.38
155,R,1,0.80,0.80,2.00,9.00,21.72,14.49,14.37,8.00
156,S,1,0.80,1.00,0.50,9.00,22.87,15.33,14.88,5.18
157,R,1,0.80,1.00,0.50,9.00,20.37,15.28,14.82,3.59
158,S,1,0.80,1.00,1.00,9.00,20.42,14.61,14.16,4.26
159,R,1,0.80,1.00,1.00,9.00,19.81,15.01,14.45,3.15
160,S,1,0.80,1.00,2.00,9.00,22.61,16.93,16.33,7.40
161,R,1,0.80,1.00,2.00,9.00,23.47,17.26,16.65,6.54
162,S,1,0.90,0.50,0.50,19.00,24.17,20.58,20.03,15.68
163,R,1,0.90,0.50,0.50,19.00,24.15,20.32,19.88,14.89
164,S,1,0.90,0.50,1.00,19.00,24.29,21.17,20.03,15.69
165,R,1,0.90,0.50,1.00,19.00,21.37,20.67,19.67,14.92
166,S,1,0.90,0.50,2.00,19.00,22.61,20.10,19.56,15.57
167,R,1,0.90,0.50,2.00,19.00,20.39,19.69,19.09,14.96
168,S,1,0.90,0.80,0.50,19.00,22.91,20.66,19.49,11.20
169,R,1,0.90,0.80,0.50,19.00,22.37,20.48,19.62,9.53
170,S,1,0.90,0.80,1.00,19.00,27.37,19.76,20.15,18.28
171,R,1,0.90,0.80,1.00,19.00,22.23,19.57,20.08,18.00
172,S,1,0.90,0.80,2.00,19.00,23.25,21.81,22.55,10.10
173,R,1,0.90,0.80,2.00,19.00,23.37,21.88,22.50,7.53
174,S,1,0.90,1.00,0.50,19.00,26.51,20.67,19.07,9.42
175,R,1,0.90,1.00,0.50,19.00,23.75,20.26,18.71,6.63
176,S,1,0.90,1.00,1.00,19.00,23.16,18.52,17.82,18.24
177,R,1,0.90,1.00,1.00,19.00,20.64,18.50,17.92,18.00
178,S,1,0.90,1.00,2.00,19.00,23.31,19.79,19.19,17.23
179,R,1,0.90,1.00,2.00,19.00,19.90,18.77,18.30,16.27
180,S,1,0.95,0.50,0.50,38.77,33.54,26.75,26.38,37.99
181,R,1,0.95,0.50,0.50,38.77,25.12,25.98,24.07,37.77
182,S,1,0.95,0.50,1.00,38.77,29.68,30.69,28.95,32.37
183,R,1,0.95,0.50,1.00,38.77,22.58,24.82,22.86,27.91
184,S,1,0.95,0.50,2.00,38.77,25.39,26.09,25.03,34.30
185,R,1,0.95,0.50,2.00,38.77,23.31,24.13,22.87,34.01
186,S,1,0.95,0.80,0.50,38.77,32.10,25.62,24.43,31.26
187,R,1,0.95,0.80,0.50,38.77,23.88,21.50,21.07,30.35
188,S,1,0.95,0.80,1.00,38.77,33.12,27.39,26.16,35.77
189,R,1,0.95,0.80,1.00,38.77,23.21,20.68,18.90,35.04
190,S,1,0.95,0.80,2.00,38.77,30.34,28.15,29.12,38.12
191,R,1,0.95,0.80,2.00,38.77,26.81,26.83,28.15,37.77
192,S,1,0.95,1.00,0.50,38.77,26.71,21.39,21.03,33.02
193,R,1,0.95,1.00,0.50,38.77,20.91,19.15,17.75,30.98
194,S,1,0.95,1.00,1.00,38.77,35.48,31.45,30.52,23.91
195,R,1,0.95,1.00,1.00,38.77,27.51,28.28,27.41,13.26
196,S,1,0.95,1.00,2.00,38.77,24.82,22.36,22.42,38.06
197,R,1,0.95,1.00,2.00,38.77,24.11,23.00,22.79,37.77
198,S,1,0.99,0.50,0.50,126.16,27.38,21.34,27.52,123.32
199,R,1,0.99,0.50,0.50,126.16,14.79,12.75,13.25,123.17
200,S,1,0.99,0.50,1.00,126.16,31.87,25.99,32.46,121.51
201,R,1,0.99,0.50,1.00,126.16,18.60,16.28,17.54,121.17
202,S,1,0.99,0.50,2.00,126.16,48.00,50.31,47.83,123.54
203,R,1,0.99,0.50,2.00,126.16,36.29,38.90,37.75,123.18
204,S,1,0.99,0.80,0.50,126.16,24.80,28.94,25.24,115.56
205,R,1,0.99,0.80,0.50,126.16,13.82,17.43,16.37,113.65
206,S,1,0.99,0.80,1.00,126.16,19.82,23.66,19.74,115.38
207,R,1,0.99,0.80,1.00,126.16,13.10,14.41,14.46,113.66
208,S,1,0.99,0.80,2.00,126.16,37.69,31.91,38.39,115.64
209,R,1,0.99,0.80,2.00,126.16,16.29,14.26,15.04,112.70
210,S,1,0.99,1.00,0.50,126.16,28.92,31.94,30.67,123.35
211,R,1,0.99,1.00,0.50,126.16,18.81,22.39,21.37,123.17
212,S,1,0.99,1.00,1.00,126.16,42.64,45.81,42.88,123.50
213,R,1,0.99,1.00,1.00,126.16,26.96,30.74,29.44,123.19
214,S,1,0.99,1.00,2.00,126.16,27.10,30.12,26.74,125.29
215,R,1,0.99,1.00,2.00,126.16,23.65,26.28,24.89,125.14
